Program;Length;WS;AS I;AS II;Test;Substitution
-o[>+<+]>o;10;[('0111', ''), ('00', '')];[('00', ''), ('01', '')];[('10100', '0'), ('10101', '0'), ('0100', '')];[('10', '0'), ('100', '0'), ('101', '0'), ('0101', ''), ('10110', '0')];0
-[<-o-o];8;[('0000', ''), ('00', '')];[('11011', '10'), ('1011', '10')];[('011', ''), ('100', '10'), ('11', '10')];[('101', '10'), ('1100', '10'), ('11100', '10'), ('110', '10'), ('11101', '10')];0
-[>[<-]-o<];11;[('', '1'), ('01111', '')];[('101', '1'), ('01', '')];[('0101', ''), ('110', '1'), ('10', '1')];[('0110', ''), ('111', '1'), ('00101', ''), ('000', ''), ('00110', '')];0
>[-o]<-oo;9;[('100', ''), ('001', '')];[('1', '00'), ('00', '')];[('1000', ''), ('01000', '0'), ('10', '')];[('1001', ''), ('11', '0'), ('000', ''), ('01001', '0'), ('001', '')];0
>[+o]<-oo;9;[('010', ''), ('10', '1')];[('1', '00'), ('000', '1')];[('1000', '1'), ('11000', ''), ('1001', '1')];[('1010', '1'), ('1011', '1'), ('11001', ''), ('1100', ''), ('11010', '')];0
-[<-o+>-];9;[('1', '1'), ('0111', '')];[('010', ''), ('11', '1')];[('01010', ''), ('01011', ''), ('011', '')];[('100', '1'), ('1010', '1'), ('01100', ''), ('101', '1'), ('1', '1')];0
+[+o<]>o;8;[('000', ''), ('010', '')];[('01', ''), ('1', '')];[('11111', '1'), ('01001', ''), ('111', '1')];[('01010', ''), ('01011', ''), ('001', ''), ('010', ''), ('10', '0')];0
-[o<-];6;[('011', ''), ('000', '')];[('001', ''), ('00001', '')];[('00010', ''), ('010', ''), ('00011', '')];[('00100', ''), ('011', ''), ('01', ''), ('100', '01'), ('10', '01')];0
-[<-o]>o;8;[('1', '1'), ('110', '1')];[('00', '0'), ('100', '1')];[('101', '1'), ('00100', '0'), ('0100', '1')];[('01', '1'), ('110', '1'), ('00101', '0'), ('111', '1'), ('0101', '1')];0
-[<-oo];7;[('11', '11'), ('01', '')];[('10111', '11'), ('0111', '')];[('11000', '11'), ('111', '11'), ('11', '11')];[('10', '11'), ('01', ''), ('11001', '11'), ('010', ''), ('1000', '11')];0
>[<-]o;6;[('110', ''), ('100', '')];[('11101', ''), ('101', '')];[('1101', ''), ('', ''), ('1110', '')];[('1111', ''), ('11110', ''), ('11111', ''), ('1011', ''), ('0', '')];0
->[<o];6;[('101', '0'), ('', ''), ('00', '')];[('0', ''), ('', '')];[('00001', ''), ('001', ''), ('10', '0')];[('00', ''), ('0001', ''), ('010', ''), ('00010', ''), ('011', '')];0
>[-o]<+oo;9;[('1010', ''), ('00', '')];[('0011', ''), ('011', '0')];[('10', ''), ('0', '11'), ('01', '0')];[('100', ''), ('10011', ''), ('101', ''), ('00', ''), ('0100', '0')];0
>[+o]<+oo;9;[('101', '1'), ('11', '')];[('1011', '1'), ('1100', '')];[('01011', ''), ('011', ''), ('100', '1')];[('1101', ''), ('0', '11'), ('00', '1'), ('1110', ''), ('01100', '')];0
+[o+]>[-o];10;[('10', ''), ('1001', '')];[('010', '10'), ('011', '10')];[('0', '1'), ('10010', ''), ('100', '')];[('10011', ''), ('0010', '1'), ('0011', '1'), ('0100', '10'), ('10100', '')];0
[>]<+[o+];9;[('00100', '1')];[('010', '1'), ('0', '1')];[('11', ''), ('00010', '1'), ('0010', '1')];[('011', ''), ('100', '1'), ('00', '1'), ('0011', ''), ('01', '')];0
>+[<]>+[o-];11;[('10', ''), ('00', '10')];[('1101', '10'), ('101', '')];[('110', '10'), ('111', ''), ('011', '')];[('001', '10'), ('0', '10'), ('010', '10'), ('11101', ''), ('100', '')];0
[>]+<-<[o>];11;[('011', '100')];[('01100', '0'), ('1100', '0')];[('1101', '000'), ('100', '0'), ('101', '000')];[('01101', '000'), ('1110', '1'), ('00', '0'), ('0', ''), ('110', '1')];0
[->]<-<o<o;10;[('1100', ''), ('', ''), ('00', '')];[('0', ''), ('10000', '')];[('10001', ''), ('00', ''), ('000', '')];[('10010', '0'), ('001', ''), ('010', '0'), ('01', ''), ('011', '0')];0
>+[<-]-<o;9;[('', ''), ('01', '0'), ('001', '')];[('1', ''), ('101', '')];[('10', ''), ('11101', '1'), ('11110', '1')];[('01', '0'), ('110', '1'), ('0', ''), ('111', '1'), ('1101', '1')];0
[>-o<<-]+o;10;[('011', '0'), ('0', '1')];[('11100', '00'), ('1100', '00')];[('1101', '00'), ('100', ''), ('0', '1')];[('101', ''), ('11101', '00'), ('110', '00'), ('11110', '00'), ('01', '0')];0
[>-o->]<+o;10;[('100', ''), ('001', '')];[('10', ''), ('0', '11')];[('00001', ''), ('11', '00'), ('01', '00')];[('0001', ''), ('00010', ''), ('0010', ''), ('0011', ''), ('0100', '0')];0
>[<-]>+o;8;[('00', '1'), ('100', '')];[('10', ''), ('1', '0')];[('1001', ''), ('001', '1'), ('11001', '')];[('11010', ''), ('0', '0'), ('1010', ''), ('1011', ''), ('11011', '')];0
-[>]<-o;7;[('011', '1'), ('0', '1')];[('00111', '1'), ('0111', '1')];[('01000', '1'), ('01001', '1'), ('01010', '1')];[('111', '0'), ('01011', '1'), ('01100', '1'), ('100', ''), ('1000', '')];0
>+[<+]<o;8;[('001', ''), ('', ''), ('0', ''), ('00', '')];[('0110', '0'), ('00', '')];[('10110', ''), ('01', '0'), ('0', '')];[('1', ''), ('10111', ''), ('0111', '0'), ('11000', '1'), ('11001', '1')];0
>+[>]<+o;8;[('1001', ''), ('10', '')];[('10101', ''), ('10110', '1')];[('11', ''), ('0101', '1'), ('10', '')];[('101', ''), ('10111', ''), ('1', '1'), ('11000', ''), ('0110', '1')];0
>-o<[-o];8;[('011', '0'), ('10', '')];[('0', '1'), ('1000', '')];[('01', '0'), ('1001', ''), ('1010', '')];[('10', ''), ('000', ''), ('11000', '00'), ('11001', '00'), ('11', '00')];0
>+o[<-]oo;9;[('1', '0'), ('001', '1')];[('', '0'), ('00', '1')];[('000', '1'), ('01', ''), ('10', '1')];[('001', '1'), ('0000', '1'), ('11', ''), ('0001', '1'), ('010', '')];0
o-[o+];6;[('100', '101')];[('1111', '101'), ('01111', '0')];[('11', '101'), ('111', '101'), ('10000', '101')];[('', ''), ('0011', '0'), ('10001', '101'), ('00', '0'), ('10', '101')];0
[o-[<-]];8;[('01010', '0')];[('111', '1'), ('1111', '1')];[('11', '1'), ('101', '1'), ('', '')];[('1101', '1'), ('01111', '0'), ('1110', '1'), ('10000', '1'), ('10001', '1')];0
o-[+oo];7;[('101', '111')];[('0110', '0'), ('', '')];[('0111', '0'), ('110', '111'), ('00110', '0')];[('111', '111'), ('00111', '0'), ('1000', '111'), ('10', '111'), ('1001', '111')];0
>+o[<+]oo;9;[('', '0'), ('1011', '1')];[('', '0'), ('00', '1')];[('00000', '1'), ('0000', '1'), ('0001', '1')];[('01', ''), ('000', '1'), ('0010', '1'), ('10', '1'), ('11', '')];0
+[<+oo]+o;9;[('0000', '00')];[('11', '0'), ('', '00')];[('111', '0'), ('01111', '00'), ('10000', '0')];[('10001', '0'), ('10010', '0'), ('1111', '0'), ('10011', '0'), ('0111', '00')];0
+[oo>]+o;8;[('', '000'), ('11', '0')];[('1011', '0'), ('', '000')];[('01011', '11110011110'), ('01100', '11111100000'), ('11', '0')];[('011', '1111110'), ('1100', '0'), ('01101', '11111100110'), ('1101', '0'), ('01', '11110')];0
-[oo>]-o;8;[('', '111'), ('00', '1')];[('01', '1'), ('10', '00001')];[('01001', '1'), ('1001', '000000111'), ('001', '1')];[('01010', '1'), ('010', '1'), ('', '111'), ('11', '00111'), ('01011', '1')];0
-[<-oo]-o;9;[('', '11'), ('11', '11')];[('', '11'), ('00', '1')];[('000', '1'), ('0000', '1'), ('0001', '1')];[('01', '1'), ('0010', '1'), ('10', '11'), ('0011', '1'), ('00000', '1')];0
>-o[<-]oo;9;[('11100', '0')];[('11100', '0'), ('11101', '0')];[('11110', '0'), ('00', ''), ('', '1')];[('01', '0'), ('11111', '0'), ('100', ''), ('1100', '0'), ('10', '')];0
o+[-oo];7;[('', ''), ('10101', '1')];[('1011', '1'), ('', '')];[('011', '000'), ('01011', '000'), ('100', '1')];[('01100', '000'), ('01101', '000'), ('01110', '000'), ('101', '1'), ('01111', '000')];0
[o+[<+]];8;[('11000', '1')];[('11110', '1'), ('11111', '1')];[('10', '1'), ('1110', '1'), ('00100', '0')];[('1111', '1'), ('', ''), ('0100', '0'), ('0101', '0'), ('110', '1')];0
o+[o-];6;[('001', '010')];[('', ''), ('00', '010')];[('000', '010'), ('1000', '1'), ('01', '010')];[('10', '1'), ('11', '1'), ('001', '010'), ('010', '010'), ('1001', '1')];0
>-o[<+]oo;9;[('00', ''), ('', '1'), ('101', '')];[('0011', ''), ('', '1')];[('11', '0'), ('10011', ''), ('011', '0')];[('10100', ''), ('10101', ''), ('0100', '0'), ('10110', ''), ('10111', '')];0
-[-o]>oo;8;[('10', ''), ('1110', '')];[('101', ''), ('110', '')];[('1', ''), ('111', ''), ('10', '')];[('010', '11'), ('00101', '00'), ('00110', '00'), ('0101', '11'), ('00111', '00')];0
-[<]>[<+o];10;[('10101', '0')];[('1011', '0'), ('1100', '0')];[('10', '0'), ('011', '00'), ('11', '0')];[('01011', '00'), ('01100', '00'), ('01101', '00'), ('1', '0'), ('01110', '00')];0
-[>>+o-<];9;[('1', '0'), ('00', ''), ('01', '')];[('1', '0'), ('0000', '')];[('000', ''), ('10000', '11100'), ('0001', '')];[('00', ''), ('01', ''), ('001', ''), ('0010', ''), ('010', '')];0
-[-o]>[o+];10;[('100', ''), ('111', '')];[('1011', ''), ('1100', '')];[('11011', ''), ('11100', ''), ('1101', '')];[('011', '1'), ('01', '1'), ('1110', ''), ('1', ''), ('11', '')];0
[+>]<+o-<o;10;[('1110', ''), ('1', '0')];[('010', ''), ('01010', '')];[('1', '0'), ('1010', ''), ('11', '0')];[('1011', '0'), ('1100', ''), ('01011', '0'), ('00', ''), ('10', '')];0
-[<+o>>];8;[('100', '011')];[('11100', '01'), ('1', '0')];[('00', ''), ('1100', '01'), ('1101', '01')];[('11101', '01'), ('01', ''), ('1110', '01'), ('100', '011'), ('11110', '01')];0
>+[+[<]<+o];11;[('1110', ''), ('10', '')];[('1', ''), ('1000', '')];[('01', ''), ('10', ''), ('11000', '')];[('000', '10'), ('11', ''), ('11001', ''), ('001', '10'), ('11010', '')];0
-[-<]>[o-];10;[('001', '0'), ('10', '')];[('0110', '10'), ('11', '')];[('1', ''), ('0111', '10'), ('110', '')];[('10110', ''), ('10111', ''), ('00', '0'), ('11000', ''), ('111', '')];0
-[-[<]>o];9;[('011', ''), ('10', '0')];[('01100', ''), ('100', '00')];[('101', '010'), ('01101', ''), ('00', '')];[('01', ''), ('10', '0'), ('1100', '1000'), ('1', ''), ('1101', '10010')];0
-[<-]>[<-o];11;[('011', '11'), ('1', '')];[('010', '11'), ('0010', '11')];[('0011', '11'), ('0100', '11'), ('11', '')];[('10010', ''), ('01', '11'), ('011', '11'), ('1', ''), ('10011', '')];0
-[>+o<<+];9;[('1011', '11')];[('01', ''), ('0001', '')];[('001', ''), ('010', ''), ('011', '')];[('100', '11'), ('101', '11'), ('10001', '11'), ('10010', '11'), ('11', '')];0
[>o->]<+o;9;[('110', '1')];[('1', ''), ('10111', '01')];[('01', '11'), ('111', '1'), ('101', '0')];[('11000', '10'), ('10', '00'), ('0111', '111'), ('00', '00'), ('11001', '10')];0
->[o>]<o;8;[('010', '100')];[('10', '00'), ('1101', '1011')];[('01101', '11011'), ('01110', '11100'), ('01111', '11111')];[('11', '11'), ('1', '0'), ('101', '011'), ('110', '100'), ('10000', '00000')];0
>[>]<-o<o;9;[('1110', ''), ('10', '')];[('1', '0'), ('000', '')];[('00', ''), ('01000', ''), ('10', '')];[('11', '01'), ('001', '00'), ('010', ''), ('1000', ''), ('1001', '00')];0
>[o+]<-o;8;[('1110', '10')];[('101', '010'), ('10', '010')];[('1', '0'), ('1101', '10'), ('110', '10')];[('11', '10'), ('1110', '10'), ('111', '10'), ('010', '1'), ('01', '1')];0
>[<o<]<-o;9;[('00', '0'), ('10', '1')];[('010', '0'), ('11', '1')];[('011', '0'), ('10010', '1'), ('10011', '1')];[('100', '1'), ('10100', '1'), ('101', '1'), ('00', '0'), ('10', '1')];0
>[<+o]<-o;9;[('100', ''), ('101', '')];[('0110', '10'), ('110', '')];[('11', ''), ('111', ''), ('10110', '')];[('011', '10'), ('100', ''), ('1', '0'), ('01', '10'), ('10111', '')];0
>[o>]<-o;8;[('111', '110')];[('11', '10'), ('110', '10')];[('1', '0'), ('00', '0'), ('111', '110')];[('0110', '110'), ('0111', '1110'), ('1000', '000'), ('10', '0'), ('1001', '0010')];0
-[<-o>+];8;[('1', '10'), ('010', '')];[('1', '10'), ('11', '10')];[('110', '10'), ('00', ''), ('1110', '10')];[('11110', '10'), ('1111', '10'), ('1101', '10'), ('1000', '10'), ('111', '10')];0
>[<]<-o<o;9;[('10', ''), ('01', ''), ('00', '')];[('10100', ''), ('100', '')];[('01', ''), ('101', ''), ('110', '')];[('1', '0'), ('10', ''), ('11', ''), ('111', ''), ('000', '')];0
+[+o]>oo;8;[('1011', '00')];[('0011', ''), ('1', '')];[('10011', '00'), ('0100', ''), ('10100', '00')];[('10101', '00'), ('0101', ''), ('10110', '00'), ('10111', '00'), ('011', '')];0
>[<]<+o<o;9;[('010', ''), ('001', '')];[('1101', ''), ('101', '')];[('1110', ''), ('01', ''), ('10', '')];[('110', ''), ('01101', ''), ('01110', ''), ('111', ''), ('00', '')];0
>[<-o]<+o;9;[('01', ''), ('0110', '')];[('01', ''), ('10', '01')];[('10001', '01'), ('001', ''), ('0', '1')];[('00', ''), ('10010', '01'), ('0001', ''), ('10011', '01'), ('10100', '01')];0
>[o-]<+o;8;[('10100', '0')];[('0011', '01'), ('01', '101')];[('011', '101'), ('0', '1'), ('0100', '101')];[('10', '0'), ('10011', '0'), ('10100', '0'), ('0101', '101'), ('0110', '101')];0
>[>]<+o<o;9;[('1011', ''), ('01', '')];[('010', '11'), ('11', '')];[('011', ''), ('10010', '11'), ('0010', '11')];[('00', '10'), ('10011', ''), ('10100', '10'), ('10101', ''), ('0', '1')];0
+[<+]>[<+o];11;[('00', ''), ('0010', '')];[('01', ''), ('001', '')];[('0', ''), ('01001', ''), ('010', '')];[('10', '00'), ('011', ''), ('1001', '00'), ('01010', ''), ('00', '')];0
+[+<]>[o+];10;[('000', ''), ('011', '')];[('010', ''), ('11', '1')];[('011', ''), ('00', ''), ('01', '')];[('0', ''), ('01010', ''), ('100', '01'), ('01011', ''), ('01100', '')];0
>+[<]>+o<<o;11;[('000', '1'), ('0', '1')];[('0101', '10'), ('0', '1')];[('10101', ''), ('01', '00'), ('101', '')];[('10110', ''), ('10', ''), ('110', '11'), ('10111', ''), ('11000', '11')];0
[->]<-o+<o;10;[('0011', ''), ('0', '1')];[('00111', ''), ('0111', '')];[('01', ''), ('11', ''), ('01000', '1')];[('01001', ''), ('0', '1'), ('00', '1'), ('1000', '1'), ('1001', '')];0
+[+o]>[o-];10;[('0110', ''), ('01', '')];[('0011', ''), ('0', '')];[('00', ''), ('011', ''), ('10011', '0')];[('10100', '0'), ('10101', '0'), ('100', '0'), ('10110', '0'), ('10111', '0')];0
+[<]>[<-o];10;[('00001', '1')];[('01', '1'), ('11101', '11')];[('11', '11'), ('101', '11'), ('0', '1')];[('00', '1'), ('1101', '11'), ('1110', '11'), ('1111', '11'), ('110', '11')];0
>>-[[<]+o];10;[('011', '0'), ('11', '0')];[('1100', ''), ('', '000')];[('00', '0'), ('1', '00'), ('01', '0')];[('01100', '0'), ('10', '0'), ('11', '0'), ('101', '0'), ('110', '')];0
>>-[<+o];8;[('1', '0'), ('01', ''), ('', '000')];[('0100', ''), ('1', '0')];[('10100', '1'), ('00', '110'), ('10101', '1')];[('0101', ''), ('10110', '1'), ('10111', '1'), ('101', '1'), ('', '000')];0
>>+[-o];7;[('11', ''), ('00', ''), ('01', ''), ('', ''), ('1', '')];[('0100', '0'), ('110', '0')];[('00', ''), ('111', ''), ('00100', '')];[('010', '0'), ('01', ''), ('10', ''), ('', ''), ('11', '')];0
>>+[<+o];8;[('1110', ''), ('', '000')];[('111', ''), ('', '000')];[('00110', ''), ('1', '0'), ('0110', '')];[('0111', ''), ('1000', '1'), ('00111', ''), ('10', '1'), ('11', '')];0
>+[>o];6;[('01', ''), ('', ''), ('1101', ''), ('1', '')];[('10', ''), ('100', '0')];[('11', ''), ('00', ''), ('0', '')];[('', ''), ('0010', '10'), ('10010', '010'), ('101', '1'), ('10011', '011')];0
>>-[<-o];8;[('00010', ''), ('0', '1')];[('00101', ''), ('110', '')];[('01', '0'), ('111', '001'), ('00110', '')];[('10', ''), ('00111', ''), ('0101', ''), ('100', ''), ('0110', '0')];0
>>+[<-o];8;[('10101', ''), ('10', '')];[('', '111'), ('1000', '')];[('00', ''), ('1001', ''), ('000', '')];[('11000', '001'), ('0', '1'), ('01', '0'), ('001', ''), ('11001', '001')];0
>>+[[<]-o];10;[('000', '1'), ('', '111')];[('0111', ''), ('0', '11')];[('10111', ''), ('11000', '1'), ('11', '1')];[('100', '1'), ('00', '1'), ('10', '1'), ('1000', '1'), ('11001', '1')];0
>>ooo;5;[('1010', '111')];[('1', ''), ('', '')];[('111', '111'), ('10', ''), ('11', '')];[('1110', '111'), ('11110', '111'), ('001', '111'), ('11111', '111'), ('00', '')];0
>>oo<o;6;[('', ''), ('1000', '000')];[('100', '000'), ('101', '110')];[('1', ''), ('', ''), ('110', '001')];[('0011', '110'), ('111', '111'), ('00011', '000'), ('0100', '001'), ('0101', '001')];0
>>[o<];6;[('', ''), ('1001', '001')];[('10101', '101'), ('1', '')];[('', ''), ('0101', '010'), ('110', '011')];[('111', '111'), ('001', '100'), ('0110', '110'), ('010', '010'), ('10110', '101')];0
>[-o>o];7;[('00111', ''), ('', ''), ('00', '')];[('11111', '0101010'), ('10101', '')];[('1', ''), ('11', '0'), ('10110', '')];[('1111', '01010'), ('01', '0'), ('0101', '00'), ('10111', ''), ('', '')];0
>>o<oo;6;[('1011', '100')];[('10', ''), ('10010', '000')];[('0010', '100'), ('1', ''), ('0011', '100')];[('011', '111'), ('0100', '011'), ('100', '000'), ('101', '100'), ('110', '011')];0
>[>-o+o];8;[('', ''), ('10', '1'), ('0000', '')];[('', ''), ('000', '')];[('1', ''), ('00', '1'), ('01', '1')];[('1000', ''), ('10', '1'), ('11', '1'), ('001', '011'), ('1001', '')];0
>[o-]>o;7;[('0100', '100')];[('1', ''), ('0001', '00')];[('0010', '01'), ('01', '10'), ('10001', '00')];[('10', '0'), ('11', '10'), ('00', '0'), ('001', '01'), ('', '')];0
-[-ooooo];9;[('10011', ''), ('00', '')];[('1110', ''), ('1111', '')];[('110', ''), ('01110', ''), ('1101', '')];[('10', ''), ('11', ''), ('0011', ''), ('111', ''), ('00', '')];0
-[-ooo[o+]];11;[('001', ''), ('01', ''), ('00', '')];[('001', ''), ('01001', '')];[('010', ''), ('011', ''), ('01', '')];[('1001', ''), ('100', ''), ('1010', ''), ('10', ''), ('1011', '')];0
-[-[o<+oo+]];12;[('110', ''), ('10', ''), ('01', '')];[('10011', ''), ('10100', '')];[('0011', ''), ('0100', ''), ('011', '')];[('10101', ''), ('100', ''), ('10110', ''), ('10111', ''), ('0101', '')];0
-[-o[oo+]];10;[('0001', ''), ('000', '')];[('01011', ''), ('11', '')];[('011', ''), ('00', ''), ('10', '')];[('100', ''), ('01', ''), ('101', ''), ('110', ''), ('111', '')];0
-[-o[o<-]];10;[('11111', ''), ('01', '')];[('101', ''), ('01', '')];[('1101', ''), ('1110', ''), ('1111', '')];[('1100', ''), ('10', ''), ('0110', ''), ('0111', ''), ('11101', '')];0
-[-o[o+o<+]<];13;[('01', ''), ('00', ''), ('010', '')];[('101', ''), ('0101', '')];[('110', ''), ('0110', ''), ('01', '')];[('10', ''), ('00101', ''), ('0111', ''), ('1000', ''), ('1001', '')];0
-[-[o<+o+o]];12;[('10011', ''), ('01', '')];[('001', ''), ('010', '')];[('00001', ''), ('00010', ''), ('01', '')];[('011', ''), ('00011', ''), ('00100', ''), ('0001', ''), ('100', '')];0
-[-[<-]>o<o];12;[('000', ''), ('01', ''), ('', ''), ('00', '')];[('0010', ''), ('10010', '0')];[('10', '0'), ('0011', ''), ('010', '')];[('10011', '0'), ('011', ''), ('11', '1'), ('100', '0'), ('00', '')];0
+[>[o<o+]+<+];13;[('1111', ''), ('101', '')];[('101', ''), ('110', '')];[('1101', ''), ('11101', ''), ('01', '11001')];[('11110', ''), ('11111', ''), ('111', ''), ('1110', ''), ('011', '11001')];0
+[+[>+o<o-o]];13;[('0101', ''), ('010', '')];[('101', ''), ('01', '')];[('110', ''), ('10101', ''), ('0101', '')];[('10', ''), ('10110', ''), ('10111', ''), ('111', ''), ('0110', '')];0
-[-[o+o>]-<];12;[('01', ''), ('11101', '')];[('10011', ''), ('0011', '')];[('10100', ''), ('0100', ''), ('0101', '')];[('10101', ''), ('11', ''), ('0110', ''), ('10110', ''), ('0111', '')];0
-[-[o<-]o];10;[('01010', ''), ('', '01')];[('00', ''), ('100', '')];[('1100', ''), ('01', ''), ('101', '')];[('10', ''), ('110', ''), ('11', ''), ('11100', ''), ('11101', '')];0
+[+[-o+o<-o]];13;[('10000', ''), ('10', '')];[('00', ''), ('100', '')];[('01', ''), ('101', ''), ('110', '')];[('01100', ''), ('1100', ''), ('1101', ''), ('111', ''), ('000', '')];0
-[-[o<-oo]];11;[('1100', ''), ('111', '')];[('01011', ''), ('01100', '')];[('11', ''), ('00', ''), ('10', '')];[('01101', ''), ('01110', ''), ('1011', ''), ('011', ''), ('01', '')];0
-[-[o+ooo]];11;[('10010', ''), ('10', '')];[('01011', ''), ('11', '')];[('01100', ''), ('00', ''), ('1011', '')];[('01101', ''), ('011', ''), ('01110', ''), ('100', ''), ('101', '')];0
+[+[o-ooo]];11;[('0000', ''), ('011', '')];[('001', ''), ('0001', '')];[('01', ''), ('10', ''), ('11', '')];[('010', ''), ('00', ''), ('00001', ''), ('00010', ''), ('00011', '')];0
+[+[o<+oo]];11;[('11', ''), ('010', ''), ('10', '')];[('00011', ''), ('011', '')];[('100', ''), ('0011', ''), ('11', '')];[('01', ''), ('10', ''), ('0100', ''), ('0101', ''), ('00100', '')];0
+[+o[-o>]+<o];13;[('11111', ''), ('10', '')];[('00', ''), ('11100', '')];[('100', ''), ('11101', ''), ('01', '')];[('11110', ''), ('1100', ''), ('1101', ''), ('1110', ''), ('11111', '')];0
+[+[o<+]o];10;[('', '10'), ('10010', '')];[('101', ''), ('00101', '')];[('0101', ''), ('01', ''), ('10', '')];[('0110', ''), ('00110', ''), ('11', ''), ('00111', ''), ('00', '')];0
+[+[o-o>]+<];12;[('100', ''), ('1111', '')];[('00', ''), ('00100', '')];[('01', ''), ('0100', ''), ('10', '')];[('00101', ''), ('00110', ''), ('100', ''), ('101', ''), ('110', '')];0
+[>+[<+o]>+>];13;[('11', ''), ('101', ''), ('10', '')];[('00', ''), ('01', '')];[('10', ''), ('1000', ''), ('1001', '')];[('11', ''), ('1010', ''), ('11000', ''), ('000', ''), ('001', '')];0
+[>-[-<+o]>>];13;[('', '10'), ('111', ''), ('01', '')];[('01011', ''), ('011', '')];[('11', ''), ('01', ''), ('01100', '')];[('01101', ''), ('01110', ''), ('100', ''), ('101', ''), ('1011', '')];0
+[+[<+]>o<o];12;[('11', ''), ('10101', '')];[('1010', ''), ('1011', '')];[('01010', '1'), ('010', '1'), ('011', '1')];[('100', ''), ('10', ''), ('11', ''), ('00', '0'), ('01', '1')];0
+[+[o<-o-o]];12;[('00', ''), ('10', ''), ('000', '')];[('00', ''), ('1000', '')];[('01', ''), ('1001', ''), ('1010', '')];[('1011', ''), ('000', ''), ('10', ''), ('11', ''), ('11000', '')];0
+[+o[o-o<-]<];13;[('11010', ''), ('00', '')];[('11111', ''), ('111', '')];[('1111', ''), ('11', ''), ('0001', '')];[('001', ''), ('01', ''), ('0010', ''), ('00001', ''), ('10', '')];0
+[+o[o<+]];10;[('01111', ''), ('00', '')];[('00', ''), ('10100', '')];[('100', ''), ('10101', ''), ('10110', '')];[('101', ''), ('10111', ''), ('01', ''), ('11000', ''), ('10', '')];0
+[+o[oo-]];10;[('11001', ''), ('00', '')];[('101', ''), ('110', '')];[('111', ''), ('0101', ''), ('01', '')];[('001', ''), ('0110', ''), ('10101', ''), ('010', ''), ('011', '')];0
+[+[o<-oo-]];12;[('000', ''), ('', '1110')];[('00111', ''), ('01000', '')];[('01001', ''), ('11', ''), ('00', '')];[('01010', ''), ('01011', ''), ('01100', ''), ('111', ''), ('011', '')];0
+[+ooo[o-]];11;[('00110', ''), ('10', '')];[('1010', ''), ('1011', '')];[('010', ''), ('1100', ''), ('1101', '')];[('1110', ''), ('011', ''), ('100', ''), ('10', ''), ('11', '')];0
+[+ooooo];9;[('11111', ''), ('10', '')];[('00', ''), ('0000', '')];[('000', ''), ('01', ''), ('00000', '')];[('001', ''), ('00001', ''), ('0001', ''), ('0010', ''), ('10', '')];0
>+[-oo];7;[('10001', '00')];[('10110', '00'), ('1', '')];[('10', '00'), ('0110', ''), ('110', '')];[('0111', ''), ('11', ''), ('1000', '00'), ('', ''), ('1001', '00')];0
>+[-[o+]];9;[('1100', ''), ('011', '')];[('0100', ''), ('0101', '')];[('0110', ''), ('1', ''), ('10', '01')];[('100', '01'), ('101', '01'), ('0111', ''), ('11', ''), ('', '')];0
>[+[o<]];8;[('1', ''), ('011', ''), ('', ''), ('010', '')];[('10', '11'), ('1', '')];[('010', ''), ('011', ''), ('100', '11')];[('00010', '10'), ('101', '11'), ('', ''), ('0010', '10'), ('00011', '10')];0
>[+oo];6;[('1111', ''), ('', ''), ('011', '')];[('10', '11'), ('0010', '11')];[('11', ''), ('0011', '11'), ('010', '')];[('00010', '11'), ('', ''), ('00011', '11'), ('00100', '11'), ('1', '')];0
>[-oo];6;[('0000', ''), ('', ''), ('101', '')];[('11110', '00'), ('11111', '00')];[('', ''), ('1', ''), ('1110', '00')];[('1111', '00'), ('01101', '00'), ('01110', '00'), ('10', ''), ('1101', '00')];0
+[>[o<]];8;[('', ''), ('0010', '01'), ('1', '')];[('1', ''), ('', '')];[('0001', '01'), ('11', ''), ('001', '01')];[('01', '11'), ('00001', '01'), ('0010', '01'), ('0011', '01'), ('0100', '11')];0
>[-[o+]];8;[('', ''), ('01011', '01')];[('011', '01'), ('', '')];[('11011', '01'), ('100', ''), ('101', '')];[('1011', ''), ('1100', '01'), ('1', ''), ('11100', '01'), ('1101', '01')];0
+>[<oo];7;[('0100', '11'), ('1', '')];[('10101', ''), ('0101', '11')];[('0110', '11'), ('', ''), ('10110', '')];[('11', ''), ('10111', ''), ('01', '11'), ('1', ''), ('0111', '11')];0
>-<-[-[o+]>];12;[('00100', ''), ('11', '')];[('0011', ''), ('10011', '')];[('011', ''), ('0100', ''), ('1', '01')];[('100', ''), ('0101', ''), ('10100', ''), ('01', ''), ('101', '')];0
+>-[<+o]oo;10;[('00', ''), ('1', '00'), ('', '10')];[('010', ''), ('11', '00')];[('1', '00'), ('011', ''), ('11010', '00')];[('00', ''), ('01', ''), ('11011', '00'), ('11100', '00'), ('11101', '00')];0
-[>-[o-o<]];11;[('10010', ''), ('00', '')];[('1', '100'), ('00', '')];[('000', ''), ('001', ''), ('01', '')];[('0000', ''), ('11', '0'), ('0001', ''), ('010', ''), ('011', '')];0
+>-[<+oo];9;[('01101', ''), ('01', '')];[('01100', ''), ('100', '')];[('00', ''), ('01', ''), ('101', '')];[('01101', ''), ('1100', '0000'), ('01110', ''), ('01111', ''), ('1', '0000')];0
