Program	Witness Set
-o-[>-o<o+]	(('', '11001'), ('1', '0'))
-o-[+o-o<+]	(('', '11010'), ('1', '0'))
+[+oo<+o]+o	(('', '11011'), ('1', '0'))
-[o-[<-]o]	(('', '11100'), ('1', '0'))
+[<-ooo-o]+o	(('', '11101'), ('1', '0'))
+[+oo+<+]+o	(('', '11110'), ('1', '0'))
-o-[+oo<+]	(('', '11111'), ('1', '0'))
+o+[-oo<-]	(('', '00000'), ('0', '1'))
+[o+[<+oo]]	(('', '00001'), ('0', '1'))
+o+[-o<+o+o]	(('', '00010'), ('0', '1'))
+[o+[<+]o]	(('', '00011'), ('0', '1'))
+o+[-o<-o]o	(('', '00100'), ('0', '1'))
+o+[-o+o<-]	(('', '00101'), ('0', '1'))
+o+[>+o<o-]	(('', '00110'), ('0', '1'))
>+[<+o+]ooo	(('', '00111'), ('0', '1'))
+o+[o-oo]	(('', '01000'), ('0', '1'))
+o+[o>+o<-]	(('', '01001'), ('0', '1'))
+o+[o-o<-]	(('', '01010'), ('0', '1'))
+o+[oo-]	(('', '01100'), ('0', '1'))
+o+o[o<+o+]	(('', '01101'), ('0', '1'))
+o+oo[o-]	(('', '01110'), ('0', '1'))
>-o<-[-oo>]	(('', '10000'), ('0', '1'))
-[o-<+oo]-o	(('', '10001'), ('0', '1'))
-[o<+oo+]-o	(('', '10010'), ('0', '1'))
-[o>+o<-]-o	(('', '10011'), ('0', '1'))
-[o-o+<-]-o	(('', '10100'), ('0', '1'))
-[o-o-<-]-o	(('', '10101'), ('0', '1'))
-[o<+o+o]-o	(('', '10110'), ('0', '1'))
-[<-o]-o>ooo	(('', '10111'), ('0', '1'))
+>-[o<+]oo	(('', '11000'), ('0', '1'))
-[oo-]-o	(('', '11001'), ('0', '1'))
>-o<-[o-o>]	(('', '11010'), ('0', '1'))
+>-[o+<+]oo	(('', '11011'), ('0', '1'))
+>-[o<+o]	(('', '11100'), ('0', '1'))
<-[[o<]>-]	(('', '11101'), ('0', '1'))
-[oo<-]-o	(('', '11110'), ('0', '1'))
>-[o<-o]	(('', '11111'), ('0', '1'))
+[oo<+o]-o	(('', '00000'), ('1', '1'))
+[oo-<+]-o	(('', '00001'), ('1', '1'))
+[o<+oo+]-o	(('', '00010'), ('1', '1'))
+[ooo<]-o<o	(('', '00011'), ('1', '1'))
+[oo>]-o<oo	(('', '00100'), ('1', '1'))
<+[>+[o<]]-o	(('', '00101'), ('1', '1'))
+[oo<-]-o	(('', '00110'), ('1', '1'))
+[oo+]-o	(('', '00111'), ('1', '1'))
+[o>]-o<ooo	(('', '01000'), ('1', '1'))
+[o+o-<+o]-o	(('', '01001'), ('1', '1'))
+[o+o<+]-o	(('', '01010'), ('1', '1'))
+[o<-]-o+oo	(('', '01011'), ('1', '1'))
+[o<-o]-o>o	(('', '01100'), ('1', '1'))
+[o>-o<+]-o	(('', '01101'), ('1', '1'))
+[o<-oo]-o	(('', '01110'), ('1', '1'))
+[o<]-o<ooo	(('', '01111'), ('1', '1'))
>-o<+oo[o>]	(('', '10001'), ('1', '1'))
+[+o<+oo]-o	(('', '10010'), ('1', '1'))
->-[o-<-]oo	(('', '10100'), ('1', '1'))
<-o>+[o<oo-]	(('', '10110'), ('1', '1'))
<-[[o<]>+]	(('', '10111'), ('1', '1'))
+[<-oo]-o>oo	(('', '11000'), ('1', '1'))
+[>-oo<+]-o	(('', '11001'), ('1', '1'))
>-o[+[o-]<+]	(('', '11010'), ('1', '1'))
>-o<+[>o<o+]	(('', '11011'), ('1', '1'))
>+[+o-<+]oo	(('', '11100'), ('1', '1'))
+[<-ooo]-o+o	(('', '11101'), ('1', '1'))
+[+oo<+]-o	(('', '11110'), ('1', '1'))
>+[+o<+]oo	(('', '11111'), ('1', '1'))
<+o>>>+o	(('', '00'), ('0010', '0'))
>>+o>+o	(('', '00'), ('0001', '1'))
>+o>>+o	(('', '00'), ('101', '10'))
<+oo>o	(('', '00'), ('00', '000'))
>>+oo<o	(('', '00'), ('10', '000'))
<+oo>[+o]	(('', '00'), ('00', '001'))
+<+[o>]	(('', '00'), ('00', '010'))
<+o>+o-o	(('', '00'), ('01', '010'))
>>+o<+o-o	(('', '00'), ('10', '010'))
<+[o>>]+o	(('', '00'), ('11', '010'))
>+>+[o<]	(('', '00'), ('10', '011'))
+[o>]<o	(('', '00'), ('00', '100'))
[o<]+oo	(('', '00'), ('10', '100'))
+[o-]>+o	(('', '00'), ('00', '101'))
+o>>+o<o	(('', '00'), ('01', '101'))
>+o>+o<<o	(('', '00'), ('10', '101'))
>[o<-]+oo	(('', '00'), ('11', '101'))
>+oo-o	(('', '00'), ('10', '110'))
+[<]>oo-o	(('', '00'), ('11', '110'))
+oo>[<o]	(('', '00'), ('00', '111'))
+>[o>]<oo	(('', '00'), ('11', '111'))
>+oo<oo	(('', '00'), ('0', '0000'))
>+oo<[o+]	(('', '00'), ('0', '0001'))
>+[>+o<o-<]	(('', '00'), ('1', '0001'))
>+o<[o+]>o	(('', '00'), ('0', '0010'))
>+oo<[o>]	(('', '00'), ('1', '0010'))
[o<+]+oo	(('', '00'), ('0', '0011'))
[o+]+oo	(('', '00'), ('0', '0100'))
>+o<[o>]+o	(('', '00'), ('1', '0100'))
[o+o<+]+oo	(('', '00'), ('0', '0101'))
<+o>[o<]+o	(('', '00'), ('1', '0101'))
>+[o<]>o>o	(('', '00'), ('1', '0110'))
[o<-]>+oo	(('', '00'), ('0', '0111'))
+>+[o<-]>o	(('', '00'), ('1', '0111'))
+o>+o<-oo	(('', '00'), ('0', '1000'))
[o-]+oo	(('', '00'), ('1', '1000'))
+o>+[o<-]	(('', '00'), ('0', '1001'))
[o>]+oo<o	(('', '00'), ('1', '1001'))
+o-[o+]+o	(('', '00'), ('0', '1010'))
[o>]+[o<]+o	(('', '00'), ('1', '1010'))
[<-o-o]+oo	(('', '00'), ('0', '1011'))
[oo>]+oo	(('', '00'), ('1', '1100'))
+oo-[o+]	(('', '00'), ('0', '1101'))
[oo<]+o<>o	(('', '00'), ('1', '1101'))
+o[o-[<-]]	(('', '00'), ('0', '1110'))
[<-o-]+oo-o	(('', '00'), ('1', '1110'))
+oo-[+oo]	(('', '00'), ('0', '1111'))
[o-<-]+oo	(('', '00'), ('1', '1111'))
>+[o+]>o	(('', '01'), ('1100', '0'))
>>>+o+o	(('', '01'), ('1110', '1'))
+[<]>o>-o	(('', '01'), ('111', '10'))
>+o>>-o	(('', '01'), ('101', '11'))
>->+[o<]	(('', '01'), ('01', '000'))
-<+[o>]	(('', '01'), ('10', '000'))
+<+o[>+o>]	(('', '01'), ('11', '000'))
[o<]+o+o	(('', '01'), ('00', '001'))
<+o>-o+o	(('', '01'), ('10', '001'))
<+o+o>o	(('', '01'), ('00', '010'))
>>+o+o<o	(('', '01'), ('10', '010'))
-[>]+[o<]	(('', '01'), ('11', '010'))
<+o[+o>>]	(('', '01'), ('00', '011'))
>+o<-o>-o	(('', '01'), ('10', '100'))
[o<]+o>-o	(('', '01'), ('11', '100'))
+o>-o+o	(('', '01'), ('01', '101'))
+o>>-o<o	(('', '01'), ('00', '110'))
+o<-o>-o	(('', '01'), ('01', '110'))
>+o>-o<-o	(('', '01'), ('10', '110'))
>[o<]+o<-o	(('', '01'), ('11', '110'))
>+o[<]-o<o	(('', '01'), ('00', '111'))
+[o+]>ooo	(('', '01'), ('11', '111'))
>+o<[o>]>+o	(('', '01'), ('0', '0000'))
+[o<-]+oooo	(('', '01'), ('1', '0000'))
[oo>]+o+o	(('', '01'), ('0', '0001'))
+>+[o<-]-o	(('', '01'), ('0', '0010'))
>+o<-o+[o>]	(('', '01'), ('1', '0010'))
>+o<[o+]-o	(('', '01'), ('0', '0011'))
>+o<-o+oo	(('', '01'), ('1', '0011'))
>+o+o<oo	(('', '01'), ('0', '0100'))
>+o[+o<]+<o	(('', '01'), ('0', '0110'))
>+o<<-[o>]	(('', '01'), ('1', '0110'))
->+o[+o<+]	(('', '01'), ('0', '0111'))
+o-[o<+o]-o	(('', '01'), ('0', '1000'))
>+<[o>]+o>+o	(('', '01'), ('1', '1000'))
+o-[oo>]-o	(('', '01'), ('0', '1001'))
[o-]+o+o	(('', '01'), ('1', '1001'))
+o-[o<-]-o	(('', '01'), ('0', '1010'))
[o<+]+o>-o	(('', '01'), ('1', '1010'))
+o-[o+]-o	(('', '01'), ('0', '1011'))
[o>]+o+o<o	(('', '01'), ('1', '1011'))
+o>-o<-oo	(('', '01'), ('0', '1100'))
[oo>]+o<-o	(('', '01'), ('1', '1100'))
+o>-[o<-]	(('', '01'), ('0', '1101'))
+o-[<-oo]-o	(('', '01'), ('0', '1110'))
[o-<-]+o<-o	(('', '01'), ('1', '1110'))
+o>-o[<-]oo	(('', '01'), ('0', '1111'))
[o<-]-<+o>o	(('', '01'), ('1', '1111'))
>>>-o-o	(('', '10'), ('0001', '0'))
>-[o-]>o	(('', '10'), ('0010', '1'))
>-o>>+o	(('', '10'), ('010', '00'))
-[<]>o>+o	(('', '10'), ('000', '01'))
-[o-]>ooo	(('', '10'), ('00', '000'))
>-o[<]+o<o	(('', '10'), ('11', '000'))
>[o<]-o<+o	(('', '10'), ('00', '001'))
>-o>+o<+o	(('', '10'), ('01', '001'))
-o<+o>+o	(('', '10'), ('10', '001'))
-o>>+o<o	(('', '10'), ('11', '001'))
[o<]-o-o	(('', '10'), ('00', '010'))
-o>+o-o	(('', '10'), ('10', '010'))
[o<]-o>+o	(('', '10'), ('00', '011'))
>-o<+o>+o	(('', '10'), ('01', '011'))
<-o-o>o	(('', '10'), ('00', '100'))
>>-o-o<o	(('', '10'), ('10', '100'))
<-o[-o>>]	(('', '10'), ('11', '100'))
+[>]-[o<]	(('', '10'), ('00', '101'))
+<-[o>]	(('', '10'), ('00', '110'))
<-o>+o-o	(('', '10'), ('01', '110'))
+<+[+o>o>]	(('', '10'), ('00', '111'))
>+>-[o<]	(('', '10'), ('10', '111'))
[o<+]+<-o>o	(('', '10'), ('0', '0000'))
-o>+o[<+]oo	(('', '10'), ('1', '0000'))
[o+<+]-o<+o	(('', '10'), ('0', '0001'))
-o+[<+oo]+o	(('', '10'), ('1', '0001'))
[oo>]-o-o	(('', '10'), ('0', '0010'))
-o>+[o<+]	(('', '10'), ('1', '0010'))
[oo>]-o<+o	(('', '10'), ('0', '0011'))
-o>+o<+oo	(('', '10'), ('1', '0011'))
[o>]-o-o<o	(('', '10'), ('0', '0100'))
-o+[o-]+o	(('', '10'), ('1', '0100'))
[o<-]-o>+o	(('', '10'), ('0', '0101'))
-o+[o<+]+o	(('', '10'), ('1', '0101'))
[o+]-o-o	(('', '10'), ('0', '0110'))
-o+[oo>]+o	(('', '10'), ('1', '0110'))
>-<[o>]-o>-o	(('', '10'), ('0', '0111'))
-o+[o<-o]+o	(('', '10'), ('1', '0111'))
>-o-o<oo	(('', '10'), ('0', '1000'))
+>-o[-o<-]	(('', '10'), ('1', '1000'))
>-o<<+[o>]	(('', '10'), ('0', '1001'))
>+[>-o<o+<]	(('', '10'), ('1', '1001'))
>-o<[o>]>-o	(('', '10'), ('0', '1011'))
>-o<+o-oo	(('', '10'), ('0', '1100'))
>-o<[o-]+o	(('', '10'), ('1', '1100'))
>-o<+o-[o>]	(('', '10'), ('0', '1101'))
->-[o<+]+o	(('', '10'), ('1', '1101'))
-[o<+]-oooo	(('', '10'), ('0', '1111'))
>>-o>-o	(('', '11'), ('0010', '0'))
<-o>>>-o	(('', '11'), ('1100', '1'))
>-o>>-o	(('', '11'), ('010', '01'))
->[o>]<oo	(('', '11'), ('00', '000'))
-oo>[<o]	(('', '11'), ('11', '000'))
-[<]>oo+o	(('', '11'), ('00', '001'))
>-oo+o	(('', '11'), ('01', '001'))
>[o<+]-oo	(('', '11'), ('00', '010'))
>-o>-o<<o	(('', '11'), ('01', '010'))
-o>>-o<o	(('', '11'), ('10', '010'))
-[o+]>-o	(('', '11'), ('11', '010'))
[o<]-oo	(('', '11'), ('00', '011'))
-[o>]<o	(('', '11'), ('11', '011'))
>->-[o<]	(('', '11'), ('01', '100'))
-<-[o>]	(('', '11'), ('10', '100'))
<-[o>>]-o	(('', '11'), ('00', '101'))
>>-o<-o+o	(('', '11'), ('01', '101'))
<-o>-o+o	(('', '11'), ('10', '101'))
<-oo>o	(('', '11'), ('00', '110'))
>>-oo<o	(('', '11'), ('10', '110'))
<-oo>[-o]	(('', '11'), ('11', '110'))
[o+<+]-oo	(('', '11'), ('0', '0000'))
-oo+[-oo]	(('', '11'), ('1', '0000'))
[<+o+]-oo+o	(('', '11'), ('0', '0001'))
-o[o+[<+]]	(('', '11'), ('1', '0001'))
[oo<]-o<>o	(('', '11'), ('0', '0010'))
-oo+[o-]	(('', '11'), ('1', '0010'))
[oo>]-oo	(('', '11'), ('0', '0011'))
[o<-]-oo	(('', '11'), ('0', '0100'))
[<+o+o]-oo	(('', '11'), ('1', '0100'))
[o>]-[o<]-o	(('', '11'), ('0', '0101'))
-o+[o-]-o	(('', '11'), ('1', '0101'))
[o>]-oo<o	(('', '11'), ('0', '0110'))
-o>-[o<+]	(('', '11'), ('1', '0110'))
[o+]-oo	(('', '11'), ('0', '0111'))
-o>-o<+oo	(('', '11'), ('1', '0111'))
->-[o<+]>o	(('', '11'), ('0', '1000'))
[o<+]>-oo	(('', '11'), ('1', '1000'))
>-[o<]>o>o	(('', '11'), ('0', '1001'))
<-o>[o<]-o	(('', '11'), ('0', '1010'))
[o-o<-]-oo	(('', '11'), ('1', '1010'))
>-o<[o>]-o	(('', '11'), ('0', '1011'))
[o-]-oo	(('', '11'), ('1', '1011'))
>-oo<oo	(('', '11'), ('0', '1100'))
>-oo<[o>]	(('', '11'), ('0', '1101'))
>-o<[o-]>o	(('', '11'), ('1', '1101'))
>+[+o>-o<<]	(('', '11'), ('0', '1110'))
>-oo<[o-]	(('', '11'), ('1', '1110'))
>-[<+]>o<o	(('', '00'), ('00', ''), ('1', '1'))
>-[<+]>o>o	(('', '01'), ('00', ''), ('1', '1'))
+>-[o<]	(('', '10'), ('00', ''), ('1', '1'))
+>+[o<]	(('', '00'), ('01', ''), ('1', '0'))
[>]<+<o<o	(('', '00'), ('0', ''), ('01', '0'))
-[>>+o<-]	(('', '00'), ('0', ''), ('10', '0'))
-[<+o->-]	(('', '00'), ('0', ''), ('11', '0'))
[+>]<+<o<o	(('', '00'), ('0', ''), ('00', '1'))
-[<+oo]	(('', '00'), ('0', ''), ('1', '00'))
-[>[<+]+o<]	(('', '00'), ('0', ''), ('1', '01'))
-[+[o<]+o<-]	(('', '00'), ('0', ''), ('1', '10'))
-[>+<+]>oo	(('', '00'), ('0', ''), ('1', '11'))
-[<+o]>o	(('', '01'), ('0', ''), ('00', '0'))
[>]-<+<[o>]	(('', '01'), ('0', ''), ('01', '0'))
-[<+o>-]	(('', '01'), ('0', ''), ('10', '0'))
>-[<]>-[o+]	(('', '01'), ('0', ''), ('00', '1'))
-[-[o+]]>o	(('', '01'), ('0', ''), ('11', '1'))
-[<+o+o]	(('', '01'), ('0', ''), ('1', '01'))
-[+[o<+]<+o]	(('', '01'), ('0', ''), ('1', '10'))
-[+<+[>]<o]o	(('', '01'), ('0', ''), ('1', '11'))
[>]<-[o-]	(('', '10'), ('0', ''), ('01', '0'))
+[>]+[<+o]	(('', '10'), ('0', ''), ('00', '1'))
-[<-o>-]	(('', '10'), ('0', ''), ('10', '1'))
-[o<+]	(('', '10'), ('0', ''), ('1', '00'))
-o[>+<+]>o	(('', '10'), ('0', ''), ('1', '01'))
-[<-o-o]	(('', '10'), ('0', ''), ('1', '10'))
-[>[<-]-o<]	(('', '10'), ('0', ''), ('1', '11'))
>[-o]<-oo	(('', '11'), ('0', ''), ('01', '0'))
>[+o]<-oo	(('', '11'), ('0', ''), ('00', '1'))
-[<-o+>-]	(('', '11'), ('0', ''), ('10', '1'))
+[+o<]>o	(('', '11'), ('0', ''), ('11', '1'))
-[o<-]	(('', '11'), ('0', ''), ('1', '01'))
-[<-o]>o	(('', '11'), ('0', ''), ('1', '10'))
-[<-oo]	(('', '11'), ('0', ''), ('1', '11'))
>[<-]o	(('00', ''), ('1', ''), ('10', '1'))
->[<o]	(('01', ''), ('1', ''), ('11', '0'))
>[-o]<+oo	(('', '00'), ('1', ''), ('11', '0'))
>[+o]<+oo	(('', '00'), ('1', ''), ('10', '1'))
+[o+]>[-o]	(('', '01'), ('1', ''), ('11', '0'))
[>]<+[o+]	(('', '01'), ('1', ''), ('10', '1'))
>+[<]>+[o-]	(('', '10'), ('1', ''), ('11', '0'))
[>]+<-<[o>]	(('', '10'), ('1', ''), ('10', '1'))
[->]<-<o<o	(('', '11'), ('1', ''), ('11', '0'))
>+[<-]-<o	(('', '0'), ('00', ''), ('11', '1'))
[>-o<<-]+o	(('', '0'), ('00', ''), ('1', '10'))
[>-o->]<+o	(('', '0'), ('00', ''), ('1', '11'))
>[<-]>+o	(('', '0'), ('01', ''), ('11', '1'))
-[>]<-o	(('', '0'), ('10', ''), ('11', '0'))
>+[<+]<o	(('', '0'), ('10', ''), ('11', '1'))
>+[>]<+o	(('', '1'), ('00', ''), ('01', '1'))
>-o<[-o]	(('', '1'), ('00', ''), ('1', '10'))
>+o[<-]oo	(('0', '0'), ('1', '011'))
o-[o+]	(('0', '0'), ('1', '101'))
[o-[<-]]	(('0', '0'), ('1', '110'))
o-[+oo]	(('0', '0'), ('1', '111'))
>+o[<+]oo	(('0', '000'), ('1', '0'))
+[<+oo]+o	(('0', '001'), ('1', '0'))
+[oo>]+o	(('0', '110'), ('1', '0'))
-[oo>]-o	(('0', '1'), ('1', '001'))
-[<-oo]-o	(('0', '1'), ('1', '110'))
>-o[<-]oo	(('0', '1'), ('1', '111'))
o+[-oo]	(('0', '000'), ('1', '1'))
[o+[<+]]	(('0', '001'), ('1', '1'))
o+[o-]	(('0', '010'), ('1', '1'))
>-o[<+]oo	(('0', '100'), ('1', '1'))
-[-o]>oo	(('', '0'), ('0', ''), ('00', '00'))
-[<]>[<+o]	(('', '0'), ('0', ''), ('01', '00'))
-[>>+o-<]	(('', '0'), ('0', ''), ('10', '00'))
-[-o]>[o+]	(('', '0'), ('0', ''), ('00', '01'))
[+>]<+o-<o	(('', '0'), ('0', ''), ('01', '01'))
-[<+o>>]	(('', '0'), ('0', ''), ('10', '01'))
>+[+[<]<+o]	(('', '0'), ('0', ''), ('00', '10'))
-[-<]>[o-]	(('', '0'), ('0', ''), ('01', '10'))
-[-[<]>o]	(('', '0'), ('0', ''), ('11', '10'))
-[<-]>[<-o]	(('', '0'), ('0', ''), ('00', '11'))
-[>+o<<+]	(('', '0'), ('0', ''), ('10', '11'))
[>o->]<+o	(('', '0'), ('0', ''), ('11', '11'))
->[o>]<o	(('', '1'), ('0', ''), ('00', '00'))
>[>]<-o<o	(('', '1'), ('0', ''), ('01', '00'))
>[o+]<-o	(('', '1'), ('0', ''), ('00', '01'))
>[<o<]<-o	(('', '1'), ('0', ''), ('01', '01'))
>[<+o]<-o	(('', '1'), ('0', ''), ('00', '10'))
>[o>]<-o	(('', '1'), ('0', ''), ('01', '10'))
-[<-o>+]	(('', '1'), ('0', ''), ('10', '10'))
>[<]<-o<o	(('', '1'), ('0', ''), ('00', '11'))
+[+o]>oo	(('', '1'), ('0', ''), ('11', '11'))
>[<]<+o<o	(('', '0'), ('1', ''), ('11', '00'))
>[<-o]<+o	(('', '0'), ('1', ''), ('11', '01'))
>[o-]<+o	(('', '0'), ('1', ''), ('11', '10'))
>[>]<+o<o	(('', '0'), ('1', ''), ('10', '11'))
+[<+]>[<+o]	(('', '1'), ('1', ''), ('11', '00'))
+[+<]>[o+]	(('', '1'), ('1', ''), ('10', '01'))
>+[<]>+o<<o	(('', '1'), ('1', ''), ('11', '01'))
[->]<-o+<o	(('', '1'), ('1', ''), ('10', '10'))
+[+o]>[o-]	(('', '1'), ('1', ''), ('11', '10'))
+[<]>[<-o]	(('', '1'), ('1', ''), ('10', '11'))
>>-[[<]+o]	(('0', '001'), ('000', ''))
>>-[<+o]	(('0', '010'), ('000', ''))
>>+[-o]	(('000', '0'), ('001', ''))
>>+[<+o]	(('0', '010'), ('001', ''))
>+[>o]	(('000', '0'), ('010', ''))
>>-[<-o]	(('1', '101'), ('110', ''))
>>+[<-o]	(('1', '101'), ('111', ''))
>>+[[<]-o]	(('1', '110'), ('111', ''))
>>ooo	(('010', '000'), ('1', ''))
>>oo<o	(('010', '001'), ('1', ''))
>>[o<]	(('010', '010'), ('1', ''))
>[-o>o]	(('011', '010'), ('1', ''))
>>o<oo	(('010', '011'), ('1', ''))
>[>-o+o]	(('011', '011'), ('1', ''))
>[o-]>o	(('011', '101'), ('1', ''))
-[-ooooo]	(('', '00000'), ('0', ''), ('1', ''))
-[-ooo[o+]]	(('', '00001'), ('0', ''), ('1', ''))
-[-[o<+oo+]]	(('', '00010'), ('0', ''), ('1', ''))
-[-o[oo+]]	(('', '00011'), ('0', ''), ('1', ''))
-[-o[o<-]]	(('', '00100'), ('0', ''), ('1', ''))
-[-o[o+o<+]<]	(('', '00101'), ('0', ''), ('1', ''))
-[-[o<+o+o]]	(('', '00110'), ('0', ''), ('1', ''))
-[-[<-]>o<o]	(('', '01000'), ('0', ''), ('1', ''))
+[>[o<o+]+<+]	(('', '01001'), ('0', ''), ('1', ''))
+[+[>+o<o-o]]	(('', '01010'), ('0', ''), ('1', ''))
-[-[o+o>]-<]	(('', '01011'), ('0', ''), ('1', ''))
-[-[o<-]o]	(('', '01100'), ('0', ''), ('1', ''))
+[+[-o+o<-o]]	(('', '01101'), ('0', ''), ('1', ''))
-[-[o<-oo]]	(('', '01110'), ('0', ''), ('1', ''))
-[-[o+ooo]]	(('', '01111'), ('0', ''), ('1', ''))
+[+[o-ooo]]	(('', '10000'), ('0', ''), ('1', ''))
+[+[o<+oo]]	(('', '10001'), ('0', ''), ('1', ''))
+[+o[-o>]+<o]	(('', '10010'), ('0', ''), ('1', ''))
+[+[o<+]o]	(('', '10011'), ('0', ''), ('1', ''))
+[+[o-o>]+<]	(('', '10100'), ('0', ''), ('1', ''))
+[>+[<+o]>+>]	(('', '10101'), ('0', ''), ('1', ''))
+[>-[-<+o]>>]	(('', '10110'), ('0', ''), ('1', ''))
+[+[<+]>o<o]	(('', '10111'), ('0', ''), ('1', ''))
+[+[o<-o-o]]	(('', '11001'), ('0', ''), ('1', ''))
+[+o[o-o<-]<]	(('', '11010'), ('0', ''), ('1', ''))
+[+o[o<+]]	(('', '11011'), ('0', ''), ('1', ''))
+[+o[oo-]]	(('', '11100'), ('0', ''), ('1', ''))
+[+[o<-oo-]]	(('', '11101'), ('0', ''), ('1', ''))
+[+ooo[o-]]	(('', '11110'), ('0', ''), ('1', ''))
+[+ooooo]	(('', '11111'), ('0', ''), ('1', ''))
>+[-oo]	(('0', ''), ('00', '00'), ('01', ''))
>+[-[o+]]	(('0', ''), ('00', '01'), ('01', ''))
>[+[o<]]	(('0', ''), ('00', '10'), ('01', ''))
>[+oo]	(('0', ''), ('00', '11'), ('01', ''))
>[-oo]	(('0', ''), ('01', '00'), ('10', ''))
+[>[o<]]	(('0', ''), ('00', '01'), ('10', ''))
>[-[o+]]	(('0', ''), ('01', '01'), ('10', ''))
+>[<oo]	(('0', ''), ('00', '11'), ('10', ''))
>-<-[-[o+]>]	(('', '0101'), ('0', ''), ('10', ''))
+>-[<+o]oo	(('', '1000'), ('0', ''), ('10', ''))
-[>-[o-o<]]	(('', '1010'), ('0', ''), ('10', ''))
+>-[<+oo]	(('', '1100'), ('0', ''), ('10', ''))
>[<+]oo	(('0', ''), ('01', '00'), ('11', ''))
[>[<+]o]	(('0', ''), ('01', '01'), ('11', ''))
>[+[o-]]	(('0', ''), ('10', '10'), ('11', ''))
-[>+[o-<-]]	(('', '0010'), ('0', ''), ('11', ''))
>+[-[o+]<-]	(('', '0101'), ('0', ''), ('11', ''))
>+[+<-o[>]<]	(('', '1010'), ('0', ''), ('11', ''))
>-[+[->]<+o]	(('', '0101'), ('00', ''), ('1', ''))
>-[+[o-]<+]	(('', '1010'), ('00', ''), ('1', ''))
+[>-[o+<+]]	(('', '1101'), ('00', ''), ('1', ''))
+[>+oo<+]	(('', '0011'), ('01', ''), ('1', ''))
+[>+[o+o<]]	(('', '0101'), ('01', ''), ('1', ''))
+[>+o<+oo]	(('', '0111'), ('01', ''), ('1', ''))
>+<+[+[o-]>]	(('', '1010'), ('01', ''), ('1', ''))
>+[-[o<]]	(('1', ''), ('10', '01'), ('11', ''))
+[>]<o+<-o	(('', '01'), ('00', '00'), ('1', ''))
>-[<+]o>>o	(('', '01'), ('01', '00'), ('1', ''))
>-<+[o>]	(('', '01'), ('01', '10'), ('1', ''))
+[+[o-]]>oo	(('', '10'), ('00', '00'), ('1', ''))
+[>-o>+o>]	(('', '10'), ('01', '00'), ('1', ''))
+[>[o<]-<]	(('', '10'), ('00', '01'), ('1', ''))
+[>-o<o<]	(('', '10'), ('01', '01'), ('1', ''))
[>]<-<oo	(('', '11'), ('00', '00'), ('1', ''))
+[>-oo>]	(('', '11'), ('01', '00'), ('1', ''))
[>]<-<o>-o	(('', '11'), ('00', '01'), ('1', ''))
+[>-o>-o>]	(('', '11'), ('01', '01'), ('1', ''))
>+[<]>+o>-o	(('', '11'), ('00', '10'), ('1', ''))
+[>>-o<<<+]	(('', '11'), ('01', '10'), ('1', ''))
>+[>+o<<o]	(('', '0'), ('00', '00'), ('01', ''))
>+[>+o<-]	(('', '0'), ('00', '01'), ('01', ''))
+[>>+o-<]	(('', '0'), ('00', '00'), ('10', ''))
+>[-o>]<o	(('', '0'), ('01', '00'), ('10', ''))
+[>]<o<o	(('', '0'), ('00', '01'), ('10', ''))
>+[>+o<+<]	(('', '0'), ('10', '00'), ('11', ''))
>-[<-o<]<oo	(('', '1'), ('00', '00'), ('01', ''))
>+[+[>]<o]	(('', '1'), ('00', '01'), ('01', ''))
>+[>-o<<]	(('', '1'), ('00', '10'), ('01', ''))
>[+oo]<-o	(('', '1'), ('00', '11'), ('01', ''))
>[<+]>-o>o	(('', '1'), ('00', '00'), ('10', ''))
[+oo]>-o	(('', '1'), ('00', '11'), ('10', ''))
+>[<o+]-o	(('', '1'), ('01', '11'), ('10', ''))
+[<-[>-]<o]	(('', '1'), ('00', '00'), ('11', ''))
->[+o>]<o	(('', '1'), ('10', '11'), ('11', ''))
>-[-oo]	(('0', '00'), ('00', ''), ('01', ''))
>-[-[o+]]	(('0', '01'), ('00', ''), ('01', ''))
>+[+[o<]]	(('0', '10'), ('00', ''), ('01', ''))
>+[+oo]	(('0', '11'), ('00', ''), ('01', ''))
->-[-o<o]	(('', '010'), ('00', ''), ('10', ''))
>+[+[o-]]	(('00', ''), ('1', '10'), ('11', ''))
>-[<+]o>o	(('', '00'), ('0', '01'), ('00', ''))
>-[<<+o>]>o	(('', '01'), ('0', '00'), ('00', ''))
>-[>+o<-]	(('', '01'), ('0', '01'), ('00', ''))
>-[<<>+o-]>o	(('', '01'), ('0', '10'), ('00', ''))
>-[<]+>[o<]	(('', '10'), ('0', '00'), ('00', ''))
>-[<-[o<]+o]	(('', '10'), ('0', '01'), ('00', ''))
>-[<]>oo	(('', '11'), ('0', '00'), ('00', ''))
>-[<[o>]->]	(('', '11'), ('0', '01'), ('00', ''))
+>+[<o]	(('00', '1'), ('01', ''), ('10', ''))
+>+[+o<o]	(('', '101'), ('01', ''), ('10', ''))
>-[-o>]<o	(('', '00'), ('00', '0'), ('01', ''))
>+[>+o<+]	(('', '01'), ('00', '0'), ('01', ''))
>+o[<-]>o	(('', '01'), ('0', '00'), ('01', ''))
[>]<+o<+<o	(('', '01'), ('0', '10'), ('01', ''))
->+[<-o]	(('', '01'), ('0', '11'), ('01', ''))
